   indexX       indexY         intexZ      phi   
+6      +17     +32     +1.68478e-18     +7.15725
+6      +18     +32     -2.48672e-18     +7.54740
+6      +19     +32     +2.05483e-18     +7.92868
+6      +20     +32     +3.17346e-18     +8.29867
+6      +21     +32     -7.89049e-19     +8.65473
+6      +22     +32     +3.37008e-18     +8.99404
+6      +23     +32     +4.61988e-18     +9.31365
+6      +24     +32     -4.44594e-18     +9.61049
+6      +25     +32     -9.65825e-19     +9.88150
+6      +26     +32     +2.00200e-18     +10.1237
+6      +27     +32     -2.81347e-18     +10.3342
+6      +28     +32     +2.56969e-18     +10.5104
+6      +29     +32     +6.24024e-18     +10.6500
+6      +30     +32     +7.87503e-19     +10.7511
+6      +31     +32     +1.01479e-18     +10.8123
+6      +32     +32     +5.31121e-17     +10.8329
+6      +33     +32     +8.73572e-19     +10.8123
+6      +34     +32     +2.44007e-18     +10.7511
+6      +35     +32     +2.25119e-18     +10.6500
+6      +36     +32     +4.15114e-18     +10.5104
+6      +37     +32     -2.18908e-18     +10.3342
+6      +38     +32     +3.56309e-18     +10.1237
+6      +39     +32     -1.15703e-18     +9.88150
+6      +40     +32     -3.39817e-18     +9.61049
+6      +41     +32     +3.60252e-18     +9.31365
+6      +42     +32     +5.03219e-18     +8.99404
+6      +43     +32     -1.31242e-18     +8.65473
+6      +44     +32     +3.90891e-18     +8.29867
+6      +45     +32     +3.52521e-19     +7.92868
+6      +46     +32     -8.54760e-19     +7.54740
+6      +47     +32     +1.92650e-18     +7.15725
+6      +48     +32     +5.06234e-19     +6.76041
+6      +49     +32     +4.69410e-18     +6.35880
+6      +50     +32     +2.79401e-18     +5.95408
+6      +51     +32     -7.64942e-18     +5.54767
+6      +52     +32     -1.36241e-18     +5.14075
+6      +53     +32     +1.09596e-18     +4.73425
+6      +54     +32     -8.07680e-18     +4.32893
+6      +55     +32     +2.36470e-18     +3.92531
+6      +56     +32     -4.20564e-18     +3.52376
+6      +57     +32     -4.33835e-18     +3.12448
+6      +58     +32     +2.02204e-18     +2.72755
+6      +59     +32     +2.11075e-18     +2.33293
+6      +60     +32     -1.37823e-18     +1.94045
+6      +61     +32     -6.41972e-19     +1.54988
+6      +62     +32     +2.85853e-18     +1.16093
+6      +63     +32     -2.84312e-18     +0.773237
+7      +1     +32     -2.18784e-18     +0.884958
+7      +2     +32     -6.09729e-19     +1.32880
+7      +3     +32     -1.30997e-18     +1.77423
+7      +4     +32     +2.91790e-18     +2.22172
+7      +5     +32     +1.02690e-18     +2.67166
+7      +6     +32     +3.26166e-18     +3.12439
+7      +7     +32     -3.00841e-18     +3.58012
+7      +8     +32     +2.28494e-18     +4.03898
+7      +9     +32     +2.87261e-18     +4.50094
+7      +10     +32     -5.77962e-18     +4.96582
+7      +11     +32     +6.61647e-18     +5.43327
+7      +12     +32     +4.99920e-18     +5.90271
+7      +13     +32     -5.21566e-18     +6.37336
+7      +14     +32     +3.15491e-18     +6.84416
+7      +15     +32     +8.28734e-19     +7.31381
+7      +16     +32     -1.55980e-18     +7.78069
+7      +17     +32     +6.67831e-18     +8.24288
+7      +18     +32     -6.20004e-19     +8.69815
+7      +19     +32     +5.30302e-18     +9.14395
+7      +20     +32     -4.19418e-18     +9.57741
+7      +21     +32     +1.83862e-18     +9.99540
+7      +22     +32     -1.64871e-18     +10.3945
+7      +23     +32     +7.46685e-18     +10.7712
+7      +24     +32     -6.11655e-18     +11.1217
+7      +25     +32     +5.24092e-18     +11.4423
+7      +26     +32     -4.15913e-18     +11.7292
+7      +27     +32     +6.83911e-18     +11.9790
+7      +28     +32     -2.26459e-18     +12.1883
+7      +29     +32     +5.09609e-18     +12.3543
+7      +30     +32     +7.28183e-18     +12.4747
+7      +31     +32     +4.12408e-18     +12.5476
+7      +32     +32     -2.94288e-17     +12.5721
+7      +33     +32     +4.12408e-18     +12.5476
+7      +34     +32     +6.85870e-18     +12.4747
+7      +35     +32     +8.12963e-18     +12.3543
+7      +36     +32     -2.29345e-19     +12.1883
+7      +37     +32     +2.69699e-18     +11.9790
+7      +38     +32     +1.52553e-19     +11.7292
+7      +39     +32     +4.25396e-18     +11.4423
+7      +40     +32     -4.95952e-18     +11.1217
+7      +41     +32     +7.51710e-18     +10.7712
+7      +42     +32     -3.31133e-18     +10.3945
+7      +43     +32     +7.00146e-19     +9.99540
+7      +44     +32     -2.66349e-18     +9.57741
+7      +45     +32     +5.49500e-18     +9.14395
+7      +46     +32     +4.48382e-20     +8.69815
+7      +47     +32     +6.94039e-18     +8.24288
+7      +48     +32     -2.15455e-18     +7.78069
+7      +49     +32     +1.89635e-18     +7.31381
+7      +50     +32     +3.55832e-18     +6.84416
+7      +51     +32     -5.26076e-18     +6.37336
+7      +52     +32     +5.85035e-18     +5.90271
+7      +53     +32     +6.33455e-18     +5.43327
+7      +54     +32     -5.68401e-18     +4.96582
+7      +55     +32     +3.01382e-18     +4.50094
+7      +56     +32     +2.39073e-18     +4.03898
+7      +57     +32     -3.19485e-18     +3.58012
+7      +58     +32     +2.77559e-18     +3.12439
+7      +59     +32     +1.92849e-18     +2.67166
+7      +60     +32     +3.12192e-18     +2.22172
+7      +61     +32     -1.17391e-18     +1.77423
+7      +62     +32     -4.87519e-19     +1.32880
+7      +63     +32     -1.95233e-18     +0.884958
+8      +1     +32     -4.57182e-18     +0.997019
+8      +2     +32     +1.74006e-19     +1.49723
+8      +3     +32     -1.73168e-19     +1.99943
+8      +4     +32     +7.76513e-18     +2.50421
+8      +5     +32     -2.02249e-18     +3.01210
+8      +6     +32     +3.16038e-18     +3.52353
+8      +7     +32     -3.75191e-18     +4.03884
+8      +8     +32     +2.85972e-18     +4.55824
+8      +9     +32     +8.68959e-18     +5.08177
+8      +10     +32     -7.69916e-18     +5.60932
+8      +11     +32     +4.04227e-18     +6.14055
+8      +12     +32     -9.60968e-18     +6.67491
+8      +13     +32     -5.68827e-18     +7.21156
+8      +14     +32     +2.88639e-18     +7.74938
+8      +15     +32     +1.43714e-18     +8.28693
+8      +16     +32     +4.08079e-18     +8.82242
+8      +17     +32     -3.36621e-18     +9.35367
+8      +18     +32     -1.30958e-18     +9.87814
+8      +19     +32     +6.60796e-18     +10.3929
