   posx(m)        px/pz(rad)         posy(m)       py/pz(rad)         posz(m)           pz/pz(rad)   
-0.00041264035       +0.039731015       +0.0014594016       -0.035904397       +0.0012063738       +0.0016373979       
-0.00023096519       -0.0073455771       +0.0012003552       -0.064682996       -0.0014856205       +0.0015630461       
-0.00084526756       +0.037540841       +0.0010665010       -0.061015497       +0.0024981944       -0.00015928955       
+0.00013370027       -0.016392284       +0.0023597003       -0.063157327       -0.0028340393       +0.00097997694       
+0.00016723093       -0.0086845959       +0.0019345589       -0.084030018       +0.0035487475       -0.0014257645       
-0.0010808318       +0.052713347       +0.0016887246       -0.039873851       -0.0025373910       +0.00026716817       
-0.00063930432       +0.027222425       +0.0022889662       -0.085646102       +0.0037236323       -0.0017055740       
-0.0016763966       +0.051913312       -0.0019176870       +0.049472696       -0.00019382772       +0.0022328267       
+5.3910169e-05       -0.020438833       +0.0019147659       -0.044609644       +0.0020291178       +0.00073610571       
+0.00073185316       -0.047166739       +0.0017184047       -0.058654345       -0.00085054985       +0.0015325736       
+0.00068630010       -0.00048740506       +4.2807486e-05       +0.024781088       +0.0034666267       -0.0023608611       
+0.0015951481       -0.049597392       +0.0020902290       -0.071515849       +0.0020151492       -0.0013065060       
+0.00058655002       -0.042231215       -0.00097075852       +0.050686751       -0.00097304089       -0.0012372891       
-0.0010474648       +0.0071278709       +0.0011243053       -0.022978349       -0.0025853151       -6.1918169e-06       
-0.0011683330       +0.013126311       +0.0015100788       -0.053588921       -0.0016440600       +0.0022475827       
+0.00076945964       +0.0046087073       -0.00040876969       +0.028656591       +0.0028064797       +0.0022109070       
+0.0018187676       -0.040642930       -0.00058059057       +0.00010939432       +0.0020964495       -0.0016274748       
-0.00068763194       -0.0072182935       +0.00048452520       +0.00091239513       +0.0019283811       +0.00053521776       
-0.00097668574       +0.038693116       +0.0022720373       -0.081303697       +0.0010797340       +0.0019017605       
+0.00046831278       -0.023857082       +9.3108395e-05       -0.035742593       -0.0014908236       +0.00055757121       
-0.00083550208       +0.032909442       +0.0023202630       -0.084018176       -0.0030639150       -0.00016102938       
+0.0023740440       -0.063231914       +0.00083363261       -0.030029091       -0.0025360032       -0.0020642312       
