  position(cm)    EK(MeV)  xrms size(cm)   yrms size(cm)   zrms size(cm)   zrms size(deg)   pxrms(mrad)   pyrms(mrad)   pzrms(mrad)   Nemitx(cm*mrad)  Nemity(cm*mrad)  Nemitz(cm*rad)  Nemitz(KeV*ns)    betax(cm/rad)  betay(cm*rad)  betaz(cm*rad)  alphax         alphay         alphaz         transm         MBtransm     
        1.26387      0.0350004      0.0854988      0.0856656       0.218698        98.8177        41.0673        44.6921         1.7413       0.200163       0.200702      0.0276556       0.874719        3.15502        3.15885        149.407        1.13867         1.3099      -0.644321          10000          10000
         1.2798      0.0350004      0.0850129      0.0850974       0.218713        98.8246        40.8542        44.8627        1.75034       0.200252       0.200788      0.0276741       0.875302         3.1179        3.11576         149.33        1.11582        1.30313      -0.654364          10000          10000
        1.29574      0.0350004      0.0845338      0.0845283       0.218729        98.8316        40.6493         45.024        1.75954       0.200344       0.200871       0.027693         0.8759        3.08146        3.07297         149.25        1.09345        1.29583      -0.664457          10000          10000
        1.31167      0.0350004      0.0840612      0.0839586       0.218744        98.8387        40.4609         45.169        1.76891       0.200434       0.200952      0.0277124       0.876514        3.04576         3.0305        149.168          1.072        1.28769      -0.674599          10000          10000
        1.32761      0.0350004      0.0835948      0.0833889        0.21876         98.846        40.2944        45.2927        1.77844       0.200524       0.201029      0.0277323       0.877144        3.01073        2.98839        149.084         1.0517        1.27851      -0.684791          10000          10000
        1.34354      0.0350004      0.0831339      0.0828198       0.218777        98.8533        40.1541         45.388        1.78814       0.200603       0.201096      0.0277527        0.87779        2.97648        2.94678        148.997        1.03288        1.26807      -0.695031          10000          10000
        1.35948      0.0350004       0.082678      0.0822519       0.218793        98.8608        40.0444        45.4473        1.79801       0.200665       0.201147      0.0277736       0.878452        2.94303         2.9058        148.909         1.0158        1.25612       -0.70532          10000          10000
        1.37541      0.0350004      0.0822263      0.0816863        0.21881        98.8684        39.9698        45.4648        1.80805       0.200701       0.201176      0.0277951        0.87913        2.91046        2.86557        148.818        1.00077        1.24247      -0.715656          10000          10000
        1.39135      0.0350004      0.0817779      0.0811238       0.218827         98.876        39.9339        45.4355        1.81826       0.200706       0.201181      0.0278171       0.879825        2.87874        2.82619        148.725       0.987995          1.227      -0.726039          10000          10000
        1.40728      0.0350004      0.0813317      0.0805654       0.218844        98.8839        39.9399        45.3552        1.82864        0.20068       0.201158      0.0278396       0.880537        2.84781        2.78775        148.629       0.977631        1.20955      -0.736468          10000          10000
        1.42322      0.0350004      0.0808869      0.0800124       0.218862        98.8918        39.9906        45.2217        1.83919       0.200621       0.201112      0.0278626       0.881266        2.81758        2.75026        148.531       0.969796        1.19003      -0.746943          10000          10000
        1.43915      0.0350004      0.0804421      0.0794658        0.21888        98.8998        40.0882        45.0339        1.84991       0.200531       0.201047      0.0278862       0.882013        2.78796        2.71372         148.43       0.964549        1.16837      -0.757463          10000          10000
        1.45509      0.0350004      0.0799964      0.0789269       0.218898         98.908        40.2344        44.7917        1.86081       0.200417       0.200967      0.0279104       0.882778        2.75873        2.67812        148.327       0.961871        1.14454      -0.768026          10000          10000
        1.47102      0.0350004      0.0795485      0.0783969       0.218916        98.9163          40.43        44.4968        1.87187       0.200282       0.200876      0.0279352       0.883562        2.72978        2.64348        148.221       0.961698        1.11857      -0.778633          10000          10000
        1.48695      0.0350004      0.0790973      0.0778768       0.218935        98.9247         40.676        44.1532        1.88312       0.200138       0.200783      0.0279606       0.884364        2.70086        2.60975        148.113       0.963906        1.09055      -0.789281          10000          10000
        1.50289      0.0350004      0.0786418       0.077368       0.218953        98.9332        40.9709        43.7641        1.89453       0.199997       0.200703      0.0279866       0.885186        2.67174         2.5768        148.001       0.968227        1.06046      -0.799971          10000          10000
