  position(cm)    EK(MeV)  xrms size(cm)   yrms size(cm)   zrms size(cm)   zrms size(deg)   pxrms(mrad)   pyrms(mrad)   pzrms(mrad)   Nemitx(cm*mrad)  Nemity(cm*mrad)  Nemitz(cm*rad)  Nemitz(KeV*ns)    betax(cm/rad)  betay(cm*rad)  betaz(cm*rad)  alphax         alphay         alphaz         transm         MBtransm     
        8.89928       0.149935       0.919748       0.974395     0.00662616       0.238594        121.001        89.5271        2.56964        1.93179        2.03058     0.00226716      0.0244781        78.3055        83.6111        3.46302       -10.2532       -7.61679       0.896415           1000           1000
        8.99926       0.149921       0.931928       0.983114     0.00643531       0.231732        122.673        87.7857        2.85487        1.93268         2.0306     0.00247847      0.0267583        80.3559        85.1133        2.98791       -10.5302       -7.53399       0.870051           1000           1000
        9.09922       0.149905       0.944274       0.991658        0.00623       0.224351        124.369        86.0301        3.14428        1.93364        2.03064     0.00269561      0.0291011        82.4584        86.5973        2.57473       -10.8143        -7.4458        0.82983           1000           1000
        9.19919       0.149887       0.956791        1.00003     0.00601315       0.216555        126.089        84.2607        3.43777        1.93466        2.03071      0.0029186      0.0315065        84.6139         88.062        2.21535       -11.1058       -7.35229       0.777248           1000           1000
        9.29914       0.149867       0.969479        1.00822     0.00578854        0.20848        127.834        82.4779        3.73527        1.93577         2.0308     0.00314743      0.0339744        86.8236        89.5063        1.90369       -11.4047       -7.25353        0.71346           1000           1000
        9.39909       0.149844       0.982341        1.01623     0.00556111       0.200304        129.605        80.6819        4.03677        1.93695        2.03092     0.00338209      0.0365047        89.0882         90.929        1.63513       -11.7112       -7.14959       0.639373           1000           1000
        9.49903       0.149819       0.995379        1.02406     0.00533721       0.192255        131.401        78.8733        4.34233        1.93822        2.03106     0.00362254      0.0390967        91.4088         92.329        1.40614       -12.0254       -7.04057       0.555701           1000           1000
        9.59896       0.149792         1.0086         1.0317     0.00512497       0.184627        133.223        77.0523        4.65199        1.93958        2.03123     0.00386872      0.0417497        93.7862        93.7054        1.21403       -12.3476       -6.92653        0.46301           1000           1000
        9.69888       0.149761        1.02199        1.03917      0.0049346       0.177787        135.071        75.2193        4.96584        1.94105        2.03142     0.00412055      0.0444629        96.2213        95.0571        1.05673       -12.6777       -6.80758       0.361743           1000           1000
        9.79879       0.149728        1.03557        1.04645     0.00477845        0.17218        136.947        73.3747          5.284        1.94264        2.03164     0.00437793       0.047235        98.7148        96.3831       0.932651       -13.0159        -6.6838        0.25224           1000           1000
        9.89869       0.149693        1.04934        1.05354     0.00467074       0.168319        138.849        71.5189        5.60657        1.94434        2.03188     0.00464075      0.0500648        101.267        97.6823       0.840615       -13.3625       -6.55528       0.134762           1000           1000
        9.99857       0.149654        1.06329        1.06044     0.00462662        0.16675         140.78        69.6524         5.9337        1.94618        2.03215     0.00490889      0.0529506         103.88        98.9538       0.779754       -13.7174       -6.42213     0.00948956           1000           1000
        10.0984       0.149613        1.07743        1.06716     0.00466043       0.167992        142.739        67.7755        6.26554        1.94817        2.03244     0.00518219      0.0558909        106.553        100.197       0.749467       -14.0807       -6.28445      -0.123456           1000           1000
        10.1983       0.149569        1.09176        1.07368     0.00478366        0.17246        144.726        65.8886        6.60225        1.95031        2.03276     0.00546052       0.058884        109.286         101.41       0.749375       -14.4527       -6.14234      -0.264011           1000           1000
        10.2981       0.149521        1.10629        1.08002     0.00500312       0.180401        146.743        63.9922        6.94402        1.95263         2.0331     0.00574375      0.0619284        112.081        102.593       0.779292       -14.8332       -5.99591      -0.412163           1000           1000
         10.398        0.14947        1.12102        1.08616     0.00532044       0.191875         148.79        62.0868        7.29104        1.95515        2.03346     0.00603175      0.0650226        114.937        103.744       0.839198       -15.2224       -5.84528       -0.56794           1000           1000
        10.4978       0.149417        1.13594         1.0921     0.00573275       0.206781        150.867        60.1728        7.64351        1.95787        2.03385     0.00632443      0.0681654        117.853        104.863       0.929218       -15.6204       -5.69055      -0.731406           1000           1000
        10.5975       0.149359        1.15107        1.09786     0.00623435       0.224917        152.974        58.2507        8.00165        1.96082        2.03427     0.00662174      0.0713561        120.831        105.949         1.0496        -16.027       -5.53185      -0.902654           1000           1000
        10.6973       0.149299         1.1664        1.10341     0.00681835       0.246036        155.113         56.321        8.36569        1.96402         2.0347     0.00692368      0.0745947        123.869        107.001         1.2007       -16.4423       -5.36929       -1.08179           1000           1000
        10.7971       0.149235        1.18194        1.10877     0.00747788       0.269893        157.284        54.3842        8.73587        1.96749        2.03516     0.00723034       0.077882        126.966        108.019        1.38297       -16.8661         -5.203       -1.26895           1000           1000
        10.8968       0.149167        1.19768        1.11394     0.00820677       0.296268        159.487         52.441        9.11245        1.97127        2.03564     0.00754192      0.0812197        130.122        109.001        1.59689       -17.2985        -5.0331       -1.46423           1000           1000
        10.9965       0.149095        1.21364         1.1189     0.00899985       0.324976        161.722        50.4919        9.49569        1.97538        2.03615     0.00785874      0.0846113        133.336        109.947        1.84303       -17.7393       -4.85972       -1.66773           1000           1000
        11.0962        0.14902        1.22982        1.12366     0.00985295        0.35587        163.992        48.5377        9.88587        1.97985        2.03668      0.0081813      0.0880618        136.604        110.857         2.1219       -18.1882       -4.68299       -1.87952           1000           1000
        11.1958       0.148941        1.24621        1.12822      0.0107628       0.388835        166.296         46.579        10.2833        1.98472        2.03723     0.00851027      0.0915785        139.926        111.729          2.434        -18.645       -4.50305       -2.09958           1000           1000
        11.2954       0.148858        1.26283        1.13259      0.0117269       0.423784        168.634        44.6165        10.6883        1.99004         2.0378     0.00884659      0.0951711        143.298        112.563        2.77974       -19.1094       -4.32001       -2.32783           1000           1000
         11.395       0.148771        1.27966        1.13674      0.0127434       0.460653        171.008        42.6514        11.1011        1.99583        2.03839     0.00919149      0.0988526        146.717        113.358        3.15935        -19.581       -4.13403       -2.56408           1000           1000
        11.4946       0.148679        1.29672         1.1407       0.013811       0.499397        173.417        40.6844        11.5221        2.00216          2.039     0.00954653       0.102639        150.179        114.114        3.57286       -20.0593       -3.94524       -2.80799           1000           1000
        11.5941       0.148584        1.31401        1.14445      0.0149287       0.539986        175.864        38.7167        11.9516        2.00907        2.03964     0.00991364       0.106552         153.68         114.83        4.01996       -20.5438       -3.75378       -3.05902           1000           1000
        11.6936       0.148484        1.33154          1.148      0.0160959       0.582402        178.347        36.7497        12.3901        2.01663        2.04029      0.0102952       0.110616        157.215        115.506        4.49996       -21.0338       -3.55978       -3.31644           1000           1000
         11.793        0.14838        1.34929        1.15134      0.0173124       0.626638        180.869        34.7848        12.8378        2.02489        2.04097      0.0106942       0.114862        160.777        116.142        5.01164       -21.5285        -3.3634       -3.57927           1000           1000
        11.8925       0.148271        1.36729        1.15448       0.018578       0.672694         183.43        32.8239        13.2952        2.03394        2.04167      0.0111139       0.119327         164.36        116.736        5.55322       -22.0271       -3.16477       -3.84626           1000           1000
        11.9918       0.148158        1.38552        1.15741      0.0198928       0.720579        186.029        30.8692        13.7627        2.04385        2.04238      0.0115585       0.124052        167.955        117.288        6.12218       -22.5285       -2.96404       -4.11584           1000           1000
        12.0912       0.148039          1.404        1.16014      0.0212571       0.770306        188.669        28.9235        14.2406        2.05469        2.04312      0.0120325       0.129089        171.554        117.799        6.71529       -23.0317       -2.76135       -4.38616           1000           1000
        12.1905       0.147916        1.42272        1.16266      0.0226713       0.821894         191.35          26.99        14.7294        2.06658        2.04387      0.0125415       0.134494        175.147        118.267        7.32851       -23.5353       -2.55686        -4.6551           1000           1000
        12.2898       0.147788         1.4417        1.16497      0.0241358       0.875365        194.073        25.0731        15.2296        2.07961        2.04465      0.0130915        0.14033        178.722        118.693        7.95701       -24.0378        -2.3507       -4.92025           1000           1000
         12.389       0.147655        1.46092        1.16707      0.0256513       0.930748        196.838        23.1784        15.7416         2.0939        2.04544      0.0136891        0.14667        182.269        119.075        8.59525       -24.5377       -2.14304       -5.17905           1000           1000
        12.4881       0.147517         1.4804        1.16897      0.0272185       0.988074        199.647        21.3133        16.2659        2.10957        2.04625      0.0143419       0.153592        185.772        119.415         9.2371       -25.0332       -1.93401       -5.42882           1000           1000
